scientific_name,common_name,resource_category,title,url,institution,access_license_notes,relevance_to_umwelt
Mammuthus columbi,Columbian Mammoth,genomics_literature,PubMed / Europe PMC — scientific name search,https://pubmed.ncbi.nlm.nih.gov/?term=Mammuthus%20columbi,NIH / Europe PMC,Abstracts and OA full text vary by publisher.,"aDNA, morphology, ecology papers for cited reconstruction layers."
Mammuthus columbi,Columbian Mammoth,paleo,Paleobiology Database — taxon check,https://paleobiodb.org/classic/checkTaxonInfo?taxon_name=Mammuthus%20columbi&is_real_user=1,Paleobiology Database,PBDB data CC BY 4.0; cite release snapshot.,Fossil localities and temporal ranges for map + narrative.
Mammut americanum,American Mastodon,portal_search,IUCN Red List — search,https://www.iucnredlist.org/search?query=Mammut%20americanum,IUCN,Red List text and maps have specific citation requirements; see IUCN terms.,Authoritative extinction status narrative and threats summary.
Mammut americanum,American Mastodon,occurrence,"GBIF — species search (specimens, fossils, observations)",https://www.gbif.org/species/search?q=Mammut%20americanum,GBIF,Per-dataset licences via dataset DOI; many CC BY.,Georeferenced material for map layer; label per-record uncertainty.
Mammut americanum,American Mastodon,literature,Biodiversity Heritage Library — full-text search,https://www.biodiversitylibrary.org/search?searchTerm=Mammut%20americanum,BHL consortium,Volume-level rights vary; many pre-1928 works are public domain.,"Historical behaviour, habitat, and anthropogenic exploitation accounts."
Mammut americanum,American Mastodon,encyclopedia,Wikipedia — species article (verify against primary sources),https://en.wikipedia.org/wiki/Mammut_americanum,Wikimedia Foundation,CC BY-SA; trace citations to primary literature for exhibit copy.,Orientation only; use epistemic UI as Interpolated unless cross-cited.
Mammut americanum,American Mastodon,genomics_literature,PubMed / Europe PMC — scientific name search,https://pubmed.ncbi.nlm.nih.gov/?term=Mammut%20americanum,NIH / Europe PMC,Abstracts and OA full text vary by publisher.,"aDNA, morphology, ecology papers for cited reconstruction layers."
Mammut americanum,American Mastodon,paleo,Paleobiology Database — taxon check,https://paleobiodb.org/classic/checkTaxonInfo?taxon_name=Mammut%20americanum&is_real_user=1,Paleobiology Database,PBDB data CC BY 4.0; cite release snapshot.,Fossil localities and temporal ranges for map + narrative.
Smilodon fatalis,Saber-toothed Cat,portal_search,IUCN Red List — search,https://www.iucnredlist.org/search?query=Smilodon%20fatalis,IUCN,Red List text and maps have specific citation requirements; see IUCN terms.,Authoritative extinction status narrative and threats summary.
Smilodon fatalis,Saber-toothed Cat,occurrence,"GBIF — species search (specimens, fossils, observations)",https://www.gbif.org/species/search?q=Smilodon%20fatalis,GBIF,Per-dataset licences via dataset DOI; many CC BY.,Georeferenced material for map layer; label per-record uncertainty.
Smilodon fatalis,Saber-toothed Cat,literature,Biodiversity Heritage Library — full-text search,https://www.biodiversitylibrary.org/search?searchTerm=Smilodon%20fatalis,BHL consortium,Volume-level rights vary; many pre-1928 works are public domain.,"Historical behaviour, habitat, and anthropogenic exploitation accounts."
Smilodon fatalis,Saber-toothed Cat,encyclopedia,Wikipedia — species article (verify against primary sources),https://en.wikipedia.org/wiki/Smilodon_fatalis,Wikimedia Foundation,CC BY-SA; trace citations to primary literature for exhibit copy.,Orientation only; use epistemic UI as Interpolated unless cross-cited.
Smilodon fatalis,Saber-toothed Cat,genomics_literature,PubMed / Europe PMC — scientific name search,https://pubmed.ncbi.nlm.nih.gov/?term=Smilodon%20fatalis,NIH / Europe PMC,Abstracts and OA full text vary by publisher.,"aDNA, morphology, ecology papers for cited reconstruction layers."
Smilodon fatalis,Saber-toothed Cat,paleo,Paleobiology Database — taxon check,https://paleobiodb.org/classic/checkTaxonInfo?taxon_name=Smilodon%20fatalis&is_real_user=1,Paleobiology Database,PBDB data CC BY 4.0; cite release snapshot.,Fossil localities and temporal ranges for map + narrative.
Megatherium americanum,Giant Ground Sloth,portal_search,IUCN Red List — search,https://www.iucnredlist.org/search?query=Megatherium%20americanum,IUCN,Red List text and maps have specific citation requirements; see IUCN terms.,Authoritative extinction status narrative and threats summary.
Megatherium americanum,Giant Ground Sloth,occurrence,"GBIF — species search (specimens, fossils, observations)",https://www.gbif.org/species/search?q=Megatherium%20americanum,GBIF,Per-dataset licences via dataset DOI; many CC BY.,Georeferenced material for map layer; label per-record uncertainty.
Megatherium americanum,Giant Ground Sloth,literature,Biodiversity Heritage Library — full-text search,https://www.biodiversitylibrary.org/search?searchTerm=Megatherium%20americanum,BHL consortium,Volume-level rights vary; many pre-1928 works are public domain.,"Historical behaviour, habitat, and anthropogenic exploitation accounts."
Megatherium americanum,Giant Ground Sloth,encyclopedia,Wikipedia — species article (verify against primary sources),https://en.wikipedia.org/wiki/Megatherium_americanum,Wikimedia Foundation,CC BY-SA; trace citations to primary literature for exhibit copy.,Orientation only; use epistemic UI as Interpolated unless cross-cited.
Megatherium americanum,Giant Ground Sloth,genomics_literature,PubMed / Europe PMC — scientific name search,https://pubmed.ncbi.nlm.nih.gov/?term=Megatherium%20americanum,NIH / Europe PMC,Abstracts and OA full text vary by publisher.,"aDNA, morphology, ecology papers for cited reconstruction layers."
Megatherium americanum,Giant Ground Sloth,paleo,Paleobiology Database — taxon check,https://paleobiodb.org/classic/checkTaxonInfo?taxon_name=Megatherium%20americanum&is_real_user=1,Paleobiology Database,PBDB data CC BY 4.0; cite release snapshot.,Fossil localities and temporal ranges for map + narrative.
Coelodonta antiquitatis,Woolly Rhinoceros,portal_search,IUCN Red List — search,https://www.iucnredlist.org/search?query=Coelodonta%20antiquitatis,IUCN,Red List text and maps have specific citation requirements; see IUCN terms.,Authoritative extinction status narrative and threats summary.
Coelodonta antiquitatis,Woolly Rhinoceros,occurrence,"GBIF — species search (specimens, fossils, observations)",https://www.gbif.org/species/search?q=Coelodonta%20antiquitatis,GBIF,Per-dataset licences via dataset DOI; many CC BY.,Georeferenced material for map layer; label per-record uncertainty.
Coelodonta antiquitatis,Woolly Rhinoceros,literature,Biodiversity Heritage Library — full-text search,https://www.biodiversitylibrary.org/search?searchTerm=Coelodonta%20antiquitatis,BHL consortium,Volume-level rights vary; many pre-1928 works are public domain.,"Historical behaviour, habitat, and anthropogenic exploitation accounts."
Coelodonta antiquitatis,Woolly Rhinoceros,encyclopedia,Wikipedia — species article (verify against primary sources),https://en.wikipedia.org/wiki/Coelodonta_antiquitatis,Wikimedia Foundation,CC BY-SA; trace citations to primary literature for exhibit copy.,Orientation only; use epistemic UI as Interpolated unless cross-cited.
Coelodonta antiquitatis,Woolly Rhinoceros,genomics_literature,PubMed / Europe PMC — scientific name search,https://pubmed.ncbi.nlm.nih.gov/?term=Coelodonta%20antiquitatis,NIH / Europe PMC,Abstracts and OA full text vary by publisher.,"aDNA, morphology, ecology papers for cited reconstruction layers."
Coelodonta antiquitatis,Woolly Rhinoceros,paleo,Paleobiology Database — taxon check,https://paleobiodb.org/classic/checkTaxonInfo?taxon_name=Coelodonta%20antiquitatis&is_real_user=1,Paleobiology Database,PBDB data CC BY 4.0; cite release snapshot.,Fossil localities and temporal ranges for map + narrative.
Aenocyon dirus,Dire Wolf,portal_search,IUCN Red List — search,https://www.iucnredlist.org/search?query=Aenocyon%20dirus,IUCN,Red List text and maps have specific citation requirements; see IUCN terms.,Authoritative extinction status narrative and threats summary.
Aenocyon dirus,Dire Wolf,occurrence,"GBIF — species search (specimens, fossils, observations)",https://www.gbif.org/species/search?q=Aenocyon%20dirus,GBIF,Per-dataset licences via dataset DOI; many CC BY.,Georeferenced material for map layer; label per-record uncertainty.
Aenocyon dirus,Dire Wolf,literature,Biodiversity Heritage Library — full-text search,https://www.biodiversitylibrary.org/search?searchTerm=Aenocyon%20dirus,BHL consortium,Volume-level rights vary; many pre-1928 works are public domain.,"Historical behaviour, habitat, and anthropogenic exploitation accounts."
Aenocyon dirus,Dire Wolf,encyclopedia,Wikipedia — species article (verify against primary sources),https://en.wikipedia.org/wiki/Aenocyon_dirus,Wikimedia Foundation,CC BY-SA; trace citations to primary literature for exhibit copy.,Orientation only; use epistemic UI as Interpolated unless cross-cited.
Aenocyon dirus,Dire Wolf,genomics_literature,PubMed / Europe PMC — scientific name search,https://pubmed.ncbi.nlm.nih.gov/?term=Aenocyon%20dirus,NIH / Europe PMC,Abstracts and OA full text vary by publisher.,"aDNA, morphology, ecology papers for cited reconstruction layers."
Aenocyon dirus,Dire Wolf,paleo,Paleobiology Database — taxon check,https://paleobiodb.org/classic/checkTaxonInfo?taxon_name=Aenocyon%20dirus&is_real_user=1,Paleobiology Database,PBDB data CC BY 4.0; cite release snapshot.,Fossil localities and temporal ranges for map + narrative.
Megaloceros giganteus,Irish Elk,portal_search,IUCN Red List — search,https://www.iucnredlist.org/search?query=Megaloceros%20giganteus,IUCN,Red List text and maps have specific citation requirements; see IUCN terms.,Authoritative extinction status narrative and threats summary.
Megaloceros giganteus,Irish Elk,occurrence,"GBIF — species search (specimens, fossils, observations)",https://www.gbif.org/species/search?q=Megaloceros%20giganteus,GBIF,Per-dataset licences via dataset DOI; many CC BY.,Georeferenced material for map layer; label per-record uncertainty.
Megaloceros giganteus,Irish Elk,literature,Biodiversity Heritage Library — full-text search,https://www.biodiversitylibrary.org/search?searchTerm=Megaloceros%20giganteus,BHL consortium,Volume-level rights vary; many pre-1928 works are public domain.,"Historical behaviour, habitat, and anthropogenic exploitation accounts."
Megaloceros giganteus,Irish Elk,encyclopedia,Wikipedia — species article (verify against primary sources),https://en.wikipedia.org/wiki/Megaloceros_giganteus,Wikimedia Foundation,CC BY-SA; trace citations to primary literature for exhibit copy.,Orientation only; use epistemic UI as Interpolated unless cross-cited.
Megaloceros giganteus,Irish Elk,genomics_literature,PubMed / Europe PMC — scientific name search,https://pubmed.ncbi.nlm.nih.gov/?term=Megaloceros%20giganteus,NIH / Europe PMC,Abstracts and OA full text vary by publisher.,"aDNA, morphology, ecology papers for cited reconstruction layers."
Megaloceros giganteus,Irish Elk,paleo,Paleobiology Database — taxon check,https://paleobiodb.org/classic/checkTaxonInfo?taxon_name=Megaloceros%20giganteus&is_real_user=1,Paleobiology Database,PBDB data CC BY 4.0; cite release snapshot.,Fossil localities and temporal ranges for map + narrative.
Megaloceros giganteus,Irish Elk,specimen,National Museum of Ireland — Natural History (Giant Irish Deer),https://www.museum.ie/en-ie/museum-natural-history,National Museum of Ireland – Natural History,Public galleries; research access via collections enquiries.,Curated lead; verify before production embed.
Ursus spelaeus,Cave Bear,portal_search,IUCN Red List — search,https://www.iucnredlist.org/search?query=Ursus%20spelaeus,IUCN,Red List text and maps have specific citation requirements; see IUCN terms.,Authoritative extinction status narrative and threats summary.
Ursus spelaeus,Cave Bear,occurrence,"GBIF — species search (specimens, fossils, observations)",https://www.gbif.org/species/search?q=Ursus%20spelaeus,GBIF,Per-dataset licences via dataset DOI; many CC BY.,Georeferenced material for map layer; label per-record uncertainty.
Ursus spelaeus,Cave Bear,literature,Biodiversity Heritage Library — full-text search,https://www.biodiversitylibrary.org/search?searchTerm=Ursus%20spelaeus,BHL consortium,Volume-level rights vary; many pre-1928 works are public domain.,"Historical behaviour, habitat, and anthropogenic exploitation accounts."
Ursus spelaeus,Cave Bear,encyclopedia,Wikipedia — species article (verify against primary sources),https://en.wikipedia.org/wiki/Ursus_spelaeus,Wikimedia Foundation,CC BY-SA; trace citations to primary literature for exhibit copy.,Orientation only; use epistemic UI as Interpolated unless cross-cited.
Ursus spelaeus,Cave Bear,genomics_literature,PubMed / Europe PMC — scientific name search,https://pubmed.ncbi.nlm.nih.gov/?term=Ursus%20spelaeus,NIH / Europe PMC,Abstracts and OA full text vary by publisher.,"aDNA, morphology, ecology papers for cited reconstruction layers."
Ursus spelaeus,Cave Bear,paleo,Paleobiology Database — taxon check,https://paleobiodb.org/classic/checkTaxonInfo?taxon_name=Ursus%20spelaeus&is_real_user=1,Paleobiology Database,PBDB data CC BY 4.0; cite release snapshot.,Fossil localities and temporal ranges for map + narrative.
Glyptodon spp.,Glyptodon,portal_search,IUCN Red List — search,https://www.iucnredlist.org/search?query=Glyptodon%20spp.,IUCN,Red List text and maps have specific citation requirements; see IUCN terms.,Authoritative extinction status narrative and threats summary.
Glyptodon spp.,Glyptodon,occurrence,"GBIF — species search (specimens, fossils, observations)",https://www.gbif.org/species/search?q=Glyptodon%20spp.,GBIF,Per-dataset licences via dataset DOI; many CC BY.,Georeferenced material for map layer; label per-record uncertainty.
Glyptodon spp.,Glyptodon,literature,Biodiversity Heritage Library — full-text search,https://www.biodiversitylibrary.org/search?searchTerm=Glyptodon%20spp.,BHL consortium,Volume-level rights vary; many pre-1928 works are public domain.,"Historical behaviour, habitat, and anthropogenic exploitation accounts."
Glyptodon spp.,Glyptodon,encyclopedia,Wikipedia — species article (verify against primary sources),https://en.wikipedia.org/wiki/Glyptodon,Wikimedia Foundation,CC BY-SA; trace citations to primary literature for exhibit copy.,Orientation only; use epistemic UI as Interpolated unless cross-cited.
Glyptodon spp.,Glyptodon,genomics_literature,PubMed / Europe PMC — scientific name search,https://pubmed.ncbi.nlm.nih.gov/?term=Glyptodon%20spp.,NIH / Europe PMC,Abstracts and OA full text vary by publisher.,"aDNA, morphology, ecology papers for cited reconstruction layers."
Glyptodon spp.,Glyptodon,paleo,Paleobiology Database — taxon check,https://paleobiodb.org/classic/checkTaxonInfo?taxon_name=Glyptodon&is_real_user=1,Paleobiology Database,PBDB data CC BY 4.0; cite release snapshot.,Fossil localities and temporal ranges for map + narrative.
Thylacinus cynocephalus,Thylacine,portal_search,IUCN Red List — search,https://www.iucnredlist.org/search?query=Thylacinus%20cynocephalus,IUCN,Red List text and maps have specific citation requirements; see IUCN terms.,Authoritative extinction status narrative and threats summary.
Thylacinus cynocephalus,Thylacine,occurrence,"GBIF — species search (specimens, fossils, observations)",https://www.gbif.org/species/search?q=Thylacinus%20cynocephalus,GBIF,Per-dataset licences via dataset DOI; many CC BY.,Georeferenced material for map layer; label per-record uncertainty.
Thylacinus cynocephalus,Thylacine,literature,Biodiversity Heritage Library — full-text search,https://www.biodiversitylibrary.org/search?searchTerm=Thylacinus%20cynocephalus,BHL consortium,Volume-level rights vary; many pre-1928 works are public domain.,"Historical behaviour, habitat, and anthropogenic exploitation accounts."
Thylacinus cynocephalus,Thylacine,encyclopedia,Wikipedia — species article (verify against primary sources),https://en.wikipedia.org/wiki/Thylacinus_cynocephalus,Wikimedia Foundation,CC BY-SA; trace citations to primary literature for exhibit copy.,Orientation only; use epistemic UI as Interpolated unless cross-cited.
Thylacinus cynocephalus,Thylacine,genomics_literature,PubMed / Europe PMC — scientific name search,https://pubmed.ncbi.nlm.nih.gov/?term=Thylacinus%20cynocephalus,NIH / Europe PMC,Abstracts and OA full text vary by publisher.,"aDNA, morphology, ecology papers for cited reconstruction layers."
Thylacinus cynocephalus,Thylacine,conservation_record,IUCN Red List — assessment (verify ID if site reorganises),https://www.iucnredlist.org/species/21866/21949291,IUCN,Official EX narrative; cite assessment version and date.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,audiovisual,"NFSA — ‘last footage’ thylacine (moving image, licensed use)",https://www.nfsa.gov.au/collection/item/tasmanian-tiger-last-footage-thylacine,National Film and Sound Archive of Australia,Exhibition/WebXR: request NFSA licence; do not assume YouTube rips are sufficient.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,audiovisual,NFSA — Hobart 1932 thylacine (collection item),https://www.nfsa.gov.au/collection/item/hobart-1932-thylacine,NFSA,Same licensing workflow as other NFSA collection items.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,audiovisual,NFSA catalogue search — additional clips & metadata,https://www.nfsa.gov.au/search?q=thylacine,NFSA,Use for provenance of any film stills used in UI.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,occurrence,Atlas of Living Australia — species page (aggregated records),https://bie.ala.org.au/species/Thylacinus+cynocephalus,Atlas of Living Australia,National aggregation; follow through to publisher for catalogue numbers.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,occurrence,GBIF backbone taxon (example ID — confirm in UI),https://www.gbif.org/species/113394899,GBIF,Use for specimen/observation leads; check dataset licence per publisher.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,specimen,"TMAG — Shaping Tasmania (articulated skeleton A315, online object)",https://shapingtasmania.tmag.tas.gov.au/M/object.aspx?id=63,Tasmanian Museum and Art Gallery,Museum interpretation + accession context for cited 3D/AR anchors.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,museum_education,National Museum of Australia — collection highlight (thylacine),https://www.nma.gov.au/explore/collection/highlights/thylacine,National Museum of Australia,Public history framing; pair with Palawa-led scholarship for ethics copy.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,museum_education,NMA — Defining Moments resource (extinction narrative),https://www.nma.gov.au/defining-moments/resources/extinction-of-thylacine,National Museum of Australia,Teaching resource; not a substitute for Indigenous sovereignty literature.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,museum_education,Australian Museum — extinct species overview (thylacine),https://australian.museum/learn/australia-over-time/extinct-animals/the-thylacine/,Australian Museum,Orientation; cross-check facts against peer-reviewed sources.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,genomics,"Nature Ecology & Evolution — thylacine genome (Feigin et al., 2018)",https://www.nature.com/articles/s41559-017-0417-y,Springer Nature,Cited layer for aDNA / comparative marsupial genomics; read SI for data access.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,genomics,PMC — chromosome-scale hybrid assembly (Genome Biol. Evol.),https://pmc.ncbi.nlm.nih.gov/articles/PMC9007325/,NIH / authors,Higher-contiguity assembly; cite original paper and SRA/BioProject IDs from text.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,morphology,Palaeontologia Electronica — skeletal atlas of the thylacine (open PDF),https://palaeo-electronica.org/content/pdfs/947.pdf,Palaeontologia Electronica,CC BY; strong for orbit / postcranial cited reconstruction.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,education,Animal Diversity Web — species account,https://animaldiversity.org/accounts/Thylacinus_cynocephalus/,University of Michigan Museum of Zoology,Student-oriented; trace references to primary literature.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,literature,BHL — full-text search (historic hunting & bounty discourse),https://www.biodiversitylibrary.org/search?searchTerm=Thylacinus+cynocephalus,Biodiversity Heritage Library,Volume-level rights vary; ideal for colonial-era primary quotes.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,newspaper_archive,NLA Trove — newspaper search (‘thylacine’ / ‘Tasmanian tiger’),https://trove.nla.gov.au/search/category/newspapers?keyword=thylacine,National Library of Australia,Public domain era-dependent; cite article date and title in exhibit.,Curated lead; verify before production embed.
Thylacinus cynocephalus,Thylacine,research_lab,TIGRR Lab (University of Melbourne) — marsupial / thylacine genomics hub,https://tigrrlab.science.unimelb.edu.au/,University of Melbourne,Use for **ethics fork** on de-extinction biotech; not neutral ‘archive only’.,Curated lead; verify before production embed.
Hydrodamalis gigas,Steller's Sea Cow,portal_search,IUCN Red List — search,https://www.iucnredlist.org/search?query=Hydrodamalis%20gigas,IUCN,Red List text and maps have specific citation requirements; see IUCN terms.,Authoritative extinction status narrative and threats summary.
Hydrodamalis gigas,Steller's Sea Cow,occurrence,"GBIF — species search (specimens, fossils, observations)",https://www.gbif.org/species/search?q=Hydrodamalis%20gigas,GBIF,Per-dataset licences via dataset DOI; many CC BY.,Georeferenced material for map layer; label per-record uncertainty.
Hydrodamalis gigas,Steller's Sea Cow,literature,Biodiversity Heritage Library — full-text search,https://www.biodiversitylibrary.org/search?searchTerm=Hydrodamalis%20gigas,BHL consortium,Volume-level rights vary; many pre-1928 works are public domain.,"Historical behaviour, habitat, and anthropogenic exploitation accounts."
Hydrodamalis gigas,Steller's Sea Cow,encyclopedia,Wikipedia — species article (verify against primary sources),https://en.wikipedia.org/wiki/Hydrodamalis_gigas,Wikimedia Foundation,CC BY-SA; trace citations to primary literature for exhibit copy.,Orientation only; use epistemic UI as Interpolated unless cross-cited.
Hydrodamalis gigas,Steller's Sea Cow,genomics_literature,PubMed / Europe PMC — scientific name search,https://pubmed.ncbi.nlm.nih.gov/?term=Hydrodamalis%20gigas,NIH / Europe PMC,Abstracts and OA full text vary by publisher.,"aDNA, morphology, ecology papers for cited reconstruction layers."
Hydrodamalis gigas,Steller's Sea Cow,literature,BHL search — Steller / historical voyage accounts,https://www.biodiversitylibrary.org/search?searchTerm=Hydrodamalis+gigas,Biodiversity Heritage Library,Primary historical descriptions often in expedition literature.,Curated lead; verify before production embed.
Hydrodamalis gigas,Steller's Sea Cow,marine_occurrence,GBIF — species search,https://www.gbif.org/species/search?q=Hydrodamalis+gigas,GBIF,Historical locality data sparse; treat as cited not interpolated.,Curated lead; verify before production embed.
Melomys rubicola,Bramble Cay Melomys,portal_search,IUCN Red List — search,https://www.iucnredlist.org/search?query=Melomys%20rubicola,IUCN,Red List text and maps have specific citation requirements; see IUCN terms.,Authoritative extinction status narrative and threats summary.
Melomys rubicola,Bramble Cay Melomys,occurrence,"GBIF — species search (specimens, fossils, observations)",https://www.gbif.org/species/search?q=Melomys%20rubicola,GBIF,Per-dataset licences via dataset DOI; many CC BY.,Georeferenced material for map layer; label per-record uncertainty.
Melomys rubicola,Bramble Cay Melomys,literature,Biodiversity Heritage Library — full-text search,https://www.biodiversitylibrary.org/search?searchTerm=Melomys%20rubicola,BHL consortium,Volume-level rights vary; many pre-1928 works are public domain.,"Historical behaviour, habitat, and anthropogenic exploitation accounts."
